"Title"	"Year"	"Genres"	"Language"	"Country"	"Content Rating"	"Duration"	"Aspect Ratio"	"Budget"	"Gross Earnings"	"Director"	"Actor 1"	"Actor 2"	"Actor 3"	"Facebook Likes - Director"	"Facebook Likes - Actor 1"	"Facebook Likes - Actor 2"	"Facebook Likes - Actor 3"	"Facebook Likes - cast Total"	"Facebook likes - Movie"	"Facenumber in posters"	"User Votes"	"Reviews by Users"	"Reviews by Crtiics"	"IMDB Score"
"Now You See Me "	2013	"Crime|Mystery|Thriller"	"English"	"USA"	"PG-13"	125	2.35	7.5e+07	117698894	"Louis Leterrier"	"Morgan Freeman"	"Common"	"Michael Kelly"	255	11000	988	963	13312	105000	6	447979	629	384	7.3
"Nurse 3D "	2013	"Horror|Thriller"	"English"	"USA"	"R"	84	2.35	1e+07	NA	"Douglas Aarniokoski"	"Boris Kodjoe"	"Katrina Bowden"	"Kathleen Turner"	36	1000	948	899	4686	0	0	7286	75	129	4.6
"Oblivion "	2013	"Action|Adventure|Mystery|Sci-Fi"	"English"	"USA"	"PG-13"	124	2.35	1.2e+08	89021735	"Joseph Kosinski"	"Morgan Freeman"	"Tom Cruise"	"Zoë Bell"	364	11000	10000	1000	22004	71000	0	387436	892	539	7
"Oculus "	2013	"Horror|Mystery"	"English"	"USA"	"R"	104	2.35	5e+06	27689474	"Mike Flanagan"	"James Lafferty"	"Rory Cochrane"	"Garrett Ryan"	59	972	407	202	2071	23000	0	85688	339	336	6.5
"Of Horses and Men "	2013	"Comedy|Drama|Romance"	"Icelandic"	"Iceland"	NA	81	2.35	1e+07	11835	"Benedikt Erlingsson"	"Ingvar Eggert Sigurðsson"	"Charlotte Bøving"	"Sigríður María Egilsdóttir"	4	63	10	5	81	1000	0	1920	7	66	6.9
"Olympus Has Fallen "	2013	"Action|Thriller"	"English"	"USA"	"R"	119	2.35	7e+07	98895417	"Antoine Fuqua"	"Gerard Butler"	"Morgan Freeman"	"Radha Mitchell"	845	18000	11000	992	31782	45000	3	203154	698	358	6.5
"Once Upon a Time in Queens "	2013	"Comedy|Drama"	"English"	"USA"	"R"	98	1.89	1500000	NA	"Dave Rodriguez"	"Chazz Palminteri"	"Michael Rapaport"	"Paul Sorvino"	11	979	975	636	4036	283	2	291	7	9	6.3
"One Direction: This Is Us "	2013	"Documentary|Music"	"English"	"USA"	"PG"	106	1.85	1e+07	28873374	"Morgan Spurlock"	"Harry Styles"	"Zayn Malik"	"Niall Horan"	293	773	734	547	2787	0	11	22161	68	83	4.1
"Only God Forgives "	2013	"Crime|Drama"	"English"	"Denmark"	"R"	90	1.85	4800000	778565	"Nicolas Winding Refn"	"Ryan Gosling"	"Kristin Scott Thomas"	"Yayaying Rhatha Phongam"	0	33000	1000	428	34779	30000	1	83234	475	440	5.7
"Open Road "	2013	"Action|Drama|Thriller"	"English"	"Brazil"	NA	85	2.35	3e+06	NA	"Marcio Garcia"	"John Savage"	"Kristi Clainos"	"Emily Nelson"	74	652	124	47	844	433	3	1370	9	9	5.5
"Out of Inferno "	2013	"Action"	"Chinese"	"China"	"PG-13"	107	1.85	NA	NA	"Danny Pang"	"Louis Koo"	"Angelica Lee"	"Ching Wan Lau"	15	82	39	27	151	124	2	625	4	23	5.7
"Out of the Furnace "	2013	"Crime|Drama|Thriller"	"English"	"USA"	"R"	116	2.35	2.2e+07	11326836	"Scott Cooper"	"Christian Bale"	"Sam Shepard"	"Dendrie Taylor"	108	23000	820	120	24134	17000	0	83171	231	288	6.8
"Oz the Great and Powerful "	2013	"Adventure|Family|Fantasy"	"English"	"USA"	"PG"	130	2.35	2.15e+08	234903076	"Sam Raimi"	"Tim Holmes"	"Mila Kunis"	"James Franco"	0	44000	15000	11000	73441	60000	4	175409	511	525	6.4
"Oz the Great and Powerful "	2013	"Adventure|Family|Fantasy"	"English"	"USA"	"PG"	130	2.35	2.15e+08	234903076	"Sam Raimi"	"Tim Holmes"	"Mila Kunis"	"James Franco"	0	44000	15000	11000	73441	60000	4	175413	511	525	6.4
"Pacific Rim "	2013	"Action|Adventure|Sci-Fi"	"English"	"USA"	"PG-13"	131	1.85	1.9e+08	101785482	"Guillermo del Toro"	"Charlie Hunnam"	"Clifton Collins Jr."	"Larry Joe Campbell"	0	16000	968	919	19166	83000	0	381148	1106	575	7
"Pain & Gain "	2013	"Comedy|Crime|Drama"	"English"	"USA"	"R"	129	2.35	2.6e+07	49874933	"Michael Bay"	"Dwayne Johnson"	"Larry Hankin"	"Michael Rispoli"	0	12000	412	385	13573	43000	4	161168	287	335	6.5
"Palo Alto "	2013	"Drama"	"English"	"USA"	"R"	100	1.85	NA	750100	"Gia Coppola"	"James Franco"	"Nat Wolff"	"Olivia Crocicchia"	71	11000	733	145	12234	0	0	19752	61	117	6.3
"Parker "	2013	"Action|Crime|Romance|Thriller"	"English"	"USA"	"R"	118	2.35	3.5e+07	17609982	"Taylor Hackford"	"Jason Statham"	"Clifton Collins Jr."	"Wendell Pierce"	138	26000	968	458	28479	17000	0	90046	141	224	6.2
"Peeples "	2013	"Comedy|Romance"	"English"	"USA"	"PG-13"	95	2.35	1.5e+07	9123834	"Tina Gordon Chism"	"Tyler James Williams"	"S. Epatha Merkerson"	"Diahann Carroll"	24	931	539	426	3322	0	6	4065	33	43	5.3
"Percy Jackson: Sea of Monsters "	2013	"Adventure|Family|Fantasy"	"English"	"USA"	"PG"	106	2.35	9e+07	68558662	"Thor Freudenthal"	"Logan Lerman"	"Leven Rambin"	"Brandon T. Jackson"	87	8000	956	918	10882	28000	0	86627	204	183	5.9
"Philomena "	2013	"Biography|Drama"	"English"	"UK"	"PG-13"	98	1.85	1.2e+07	37707719	"Stephen Frears"	"Steve Coogan"	"Mare Winningham"	"Peter Hermann"	350	1000	482	322	2376	37000	2	76094	233	354	7.6
"Plush "	2013	"Thriller"	"English"	"USA"	"R"	99	1.78	NA	2843	"Catherine Hardwicke"	"Frances Fisher"	"James Kyson"	"Marlene Forte"	308	638	449	395	2341	604	2	2895	24	18	5.4
"Prisoners "	2013	"Crime|Drama|Mystery|Thriller"	"English"	"USA"	"R"	153	1.85	4.6e+07	60962878	"Denis Villeneuve"	"Hugh Jackman"	"Jake Gyllenhaal"	"Dylan Minnette"	777	20000	15000	1000	37321	86000	2	383591	620	454	8.1
"R.I.P.D. "	2013	"Action|Comedy|Fantasy"	"English"	"USA"	"PG-13"	96	2.35	1.3e+08	33592415	"Robert Schwentke"	"Ryan Reynolds"	"Jeff Bridges"	"Stephanie Szostak"	124	16000	12000	1000	31549	20000	2	91640	210	208	5.6
"R100 "	2013	"Comedy|Drama"	"Japanese"	"Japan"	"Unrated"	99	1.85	5500000	22770	"Hitoshi Matsumoto"	"Lindsay Kay Hayward"	"Hitoshi Matsumoto"	"Shinobu Terajima"	17	31	17	16	81	543	0	1658	12	72	6.1
"RED 2 "	2013	"Action|Comedy|Crime|Thriller"	"English"	"USA"	"PG-13"	116	2.35	8.4e+07	53215979	"Dean Parisot"	"Bruce Willis"	"Anthony Hopkins"	"Garrick Hagon"	23	13000	12000	110	25220	22000	7	125036	205	234	6.7
"Riddick "	2013	"Action|Sci-Fi|Thriller"	"English"	"USA"	"R"	127	2.35	3.8e+07	41997790	"David Twohy"	"Vin Diesel"	"Nolan Gerard Funk"	"Bokeem Woodbine"	123	14000	924	904	17551	39000	0	125305	343	302	6.4
"Roadside "	2013	"Drama|Horror|Mystery|Thriller"	"English"	"USA"	NA	81	16	NA	NA	"Eric England"	"Jack E. Curenton"	"Ace Marrero"	"Alan Pietruszewski"	15	847	94	93	1151	61	0	268	6	15	4.1
"Runner Runner "	2013	"Crime|Thriller"	"English"	"USA"	"R"	88	2.35	3e+07	19316646	"Brad Furman"	"Justin Timberlake"	"John Heard"	"David Costabile"	65	3000	697	681	5706	0	3	52069	95	184	5.6
"Rush "	2013	"Action|Biography|Drama|Sport"	"English"	"UK"	"R"	123	2.35	3.8e+07	26903709	"Ron Howard"	"Chris Hemsworth"	"Olivia Wilde"	"Alexandra Maria Lara"	2000	26000	10000	471	37206	83000	0	312629	475	393	8.1
"Safe Haven "	2013	"Drama|Romance|Thriller"	"English"	"USA"	"PG-13"	115	2.35	2.8e+07	71346930	"Lasse Hallström"	"David Lyons"	"Noah Lomax"	"Mimi Kirkland"	529	576	447	325	1554	23000	0	78008	160	184	6.7
"Saving Mr. Banks "	2013	"Biography|Comedy|Drama|History|Music"	"English"	"USA"	"PG-13"	125	2.35	3.5e+07	83299761	"John Lee Hancock"	"Tom Hanks"	"Ruth Wilson"	"B.J. Novak"	102	15000	2000	825	19809	39000	2	117719	306	405	7.5
"Scary Movie 5 "	2013	"Comedy"	"English"	"USA"	"PG-13"	88	1.85	2e+07	32014289	"Malcolm D. Lee"	"Marisa Saks"	"Snoop Dogg"	"Molly Shannon"	92	31000	881	636	34319	13000	8	50337	177	153	3.5
"Sharknado "	2013	"Horror"	"English"	"USA"	"TV-14"	97	1.78	1e+06	NA	"Anthony C. Ferrante"	"Ian Ziering"	"John Heard"	"Cassandra Scerbo"	48	984	697	689	3075	93000	0	34532	236	139	3.3
"Side Effects "	2013	"Crime|Drama|Thriller"	"English"	"USA"	"R"	106	1.85	3e+07	32154410	"Steven Soderbergh"	"Channing Tatum"	"David Costabile"	"Katie Lowes"	0	17000	681	273	18469	29000	0	148327	274	450	7.1
"Side Effects "	2013	"Crime|Drama|Thriller"	"English"	"USA"	"R"	106	1.85	3e+07	32154410	"Steven Soderbergh"	"Channing Tatum"	"David Costabile"	"Katie Lowes"	0	17000	681	273	18469	29000	0	148334	274	450	7.1
"Signed Sealed Delivered "	2013	"Comedy|Drama"	"English"	"Canada"	NA	87	NA	NA	NA	"Scott Smith"	"Eric Mabius"	"Daphne Zuniga"	"Crystal Lowe"	2	637	470	318	2283	84	2	629	6	1	7.7
"Snitch "	2013	"Action|Drama|Thriller"	"English"	"USA"	"PG-13"	112	2.35	1.5e+07	42919096	"Ric Roman Waugh"	"Dwayne Johnson"	"Harold Perrineau"	"Nadine Velazquez"	29	12000	1000	874	15800	12000	1	64747	122	238	6.5
"Snitch "	2013	"Action|Drama|Thriller"	"English"	"USA"	"PG-13"	112	2.35	1.5e+07	42919096	"Ric Roman Waugh"	"Dwayne Johnson"	"Harold Perrineau"	"Nadine Velazquez"	29	12000	1000	874	15800	12000	1	64748	122	238	6.5
"Snowpiercer "	2013	"Action|Drama|Sci-Fi|Thriller"	"English"	"South Korea"	"R"	126	1.85	39200000	4563029	"Joon-ho Bong"	"Chris Evans"	"Ewen Bremner"	"Kang-ho Song"	584	11000	557	398	12286	58000	5	181472	514	488	7
"Star Trek Into Darkness "	2013	"Action|Adventure|Sci-Fi"	"English"	"USA"	"PG-13"	132	2.35	1.9e+08	228756232	"J.J. Abrams"	"Benedict Cumberbatch"	"Bruce Greenwood"	"Noel Clarke"	14000	19000	981	928	21411	92000	0	395573	1171	590	7.8
"Stoker "	2013	"Drama|Thriller"	"English"	"UK"	"R"	99	2.35	1.2e+07	1702277	"Chan-wook Park"	"Mia Wasikowska"	"Alden Ehrenreich"	"Harmony Korine"	0	3000	1000	520	5074	27000	4	84620	235	469	6.8
"Straight A's "	2013	"Comedy|Drama"	"English"	"USA"	"R"	91	NA	2e+06	NA	"James Cox"	"Jon Mack"	"Powers Boothe"	"Josh Meyers"	10	924	472	293	2654	0	3	3605	20	12	5.7
"Texas Chainsaw 3D "	2013	"Horror|Thriller"	"English"	"USA"	"R"	92	2.35	1.1e+07	34334256	"John Luessenhop"	"Gunnar Hansen"	"Keram Malicki-Sánchez"	"Shaun Sipos"	34	383	333	322	1945	16000	0	35131	255	282	4.8
"The Adventurer: The Curse of the Midas Box "	2013	"Adventure|Family|Fantasy"	"English"	"UK"	"PG"	100	2.35	2.5e+07	4756	"Jonathan Newman"	"Ioan Gruffudd"	"Keeley Hawes"	"Oliver Stark"	3	2000	228	88	2450	0	4	4191	32	28	5.4
"The Amazing Catfish "	2013	"Comedy|Drama"	"Spanish"	"Mexico"	NA	89	NA	1300000	11278	"Claudia Sainte-Luce"	"Ximena Ayala"	"Vera Wilson"	"José Manuel Orozco Angulo"	0	31	24	3	58	407	0	1229	2	50	7
"The Best Man Holiday "	2013	"Comedy|Drama"	"English"	"USA"	"R"	123	2.35	1.7e+07	70492685	"Malcolm D. Lee"	"Harold Perrineau"	"Sanaa Lathan"	"Eddie Cibrian"	92	1000	886	849	5306	7000	5	11600	64	56	6.7
"The Best Offer "	2013	"Crime|Drama|Mystery|Romance"	"English"	"Italy"	"R"	131	2.35	13500000	85433	"Giuseppe Tornatore"	"Jim Sturgess"	"Sean Buchanan"	"Liya Kebede"	911	5000	234	232	5954	31000	2	69676	131	124	7.8
"The Big Wedding "	2013	"Comedy"	"English"	"USA"	"R"	89	2.35	3.5e+07	21784432	"Justin Zackham"	"Robin Williams"	"Robert De Niro"	"Topher Grace"	16	49000	22000	2000	74181	0	8	37493	108	133	5.6
"The Book Thief "	2013	"Drama|War"	"English"	"USA"	"PG-13"	131	2.35	1.9e+07	21483154	"Brian Percival"	"Emily Watson"	"Sophie Nélisse"	"Roger Allam"	33	876	526	326	1985	53000	1	98741	236	252	7.6
"The Brain That Sings "	2013	"Documentary|Family"	"Arabic"	"United Arab Emirates"	NA	62	NA	125000	NA	"Amal Al-Agroobi"	NA	NA	NA	58	NA	NA	NA	0	54	1	18	NA	NA	8.2
"The Call "	2013	"Crime|Thriller"	"English"	"USA"	"R"	94	1.85	1.3e+07	51872378	"Brad Anderson"	"Michael Imperioli"	"Tara Platt"	"Roma Maffia"	122	873	461	383	2812	23000	0	88241	266	285	6.7
"The Canyons "	2013	"Drama|Thriller"	"English"	"USA"	"R"	99	2.35	250000	49494	"Paul Schrader"	"Nolan Gerard Funk"	"Gus Van Sant"	"James Deen"	261	924	835	461	2862	0	0	8511	87	162	3.9
"The Christmas Candle "	2013	"Drama|Family"	"English"	"UK"	"PG"	100	NA	NA	2209479	"John Stephenson"	"Samantha Barks"	"Hans Matheson"	"Lesley Manville"	0	2000	627	149	2909	962	0	844	34	9	5.8
"The Conjuring "	2013	"Horror|Mystery|Thriller"	"English"	"USA"	"R"	112	2.35	2e+07	137387272	"James Wan"	"Mackenzie Foy"	"Lili Taylor"	"Hayley McFarland"	0	6000	960	697	9049	131000	0	300110	807	511	7.5
"The Counselor "	2013	"Crime|Drama|Thriller"	"English"	"USA"	"R"	138	2.35	2.5e+07	16969390	"Ridley Scott"	"Michael Fassbender"	"Brad Pitt"	"Goran Visnjic"	0	13000	11000	1000	27797	24000	4	80861	431	336	5.3
"The Croods "	2013	"Adventure|Animation|Comedy|Family|Fantasy"	"English"	"USA"	"PG"	98	2.35	1.35e+08	187165546	"Kirk De Micco"	"Ryan Reynolds"	"Emma Stone"	"Nicolas Cage"	16	16000	15000	12000	43286	28000	3	150618	195	257	7.3
"The Dirties "	2013	"Crime|Drama|Thriller"	"English"	"Canada"	"Not Rated"	83	NA	NA	NA	"Matt Johnson"	"Paul Daniel Ayotte"	"Shailene Garnett"	"Matt Johnson"	8	111	19	8	147	1000	0	3885	40	73	6.7
"The East "	2013	"Drama|Thriller"	"English"	"UK"	"PG-13"	116	2.35	6500000	2268296	"Zal Batmanglij"	"Alexander Skarsgård"	"Julia Ormond"	"Jason Ritter"	129	10000	918	782	13180	12000	4	41856	119	200	6.9
"The Fifth Estate "	2013	"Biography|Drama|Thriller"	"English"	"USA"	"R"	128	2.35	2.8e+07	3254172	"Bill Condon"	"Benedict Cumberbatch"	"Peter Capaldi"	"Jamie Blackley"	386	19000	17000	203	36337	11000	1	29282	105	224	6.2
"The Frozen Ground "	2013	"Crime|Drama|Mystery|Thriller"	"English"	"USA"	"R"	105	2.35	27220000	NA	"Scott Walker"	"Nicolas Cage"	"Radha Mitchell"	"Jodi Lyn O'Keefe"	17	12000	991	897	16355	11000	3	43879	133	120	6.4
"The Geographer Drank His Globe Away "	2013	"Adventure|Drama"	"Russian"	"Russia"	NA	120	NA	4e+06	NA	"Aleksandr Veledinskiy"	"Konstantin Khabenskiy"	"Elena Lyadova"	"Eugenia Khirivskaya"	0	114	45	22	183	282	0	2488	3	8	7.5
"The Grandmaster "	2013	"Action|Biography|Drama"	"Mandarin"	"Hong Kong"	"PG-13"	122	2.35	38600000	6594136	"Kar-Wai Wong"	"Tony Chiu Wai Leung"	"Hye-kyo Song"	"Elvis Tsui"	0	643	290	7	943	13000	1	24557	111	273	6.5
"The Great Beauty "	2013	"Drama"	"Italian"	"Italy"	"Not Rated"	172	2.35	9200000	2835886	"Paolo Sorrentino"	"Toni Servillo"	"Sabrina Ferilli"	"Serena Grandi"	667	211	98	70	456	29000	2	55516	124	280	7.7
"The Great Gatsby "	2013	"Drama|Romance"	"English"	"Australia"	"PG-13"	143	2.35	1.05e+08	144812796	"Baz Luhrmann"	"Leonardo DiCaprio"	"Elizabeth Debicki"	"Steve Bisley"	1000	29000	509	77	29770	115000	4	362912	753	490	7.3
"The Great Gatsby "	2013	"Drama|Romance"	"English"	"Australia"	"PG-13"	143	2.35	1.05e+08	144812796	"Baz Luhrmann"	"Leonardo DiCaprio"	"Elizabeth Debicki"	"Steve Bisley"	1000	29000	509	76	29769	115000	4	362933	753	490	7.3
"The Green Inferno "	2013	"Adventure|Horror"	"English"	"USA"	"R"	100	2.35	6e+06	7186670	"Eli Roth"	"Daryl Sabara"	"Richard Burgi"	"Magda Apanowicz"	0	640	550	389	2082	12000	0	21468	164	285	5.4
"The Haunting in Connecticut 2: Ghosts of Georgia "	2013	"Drama|Horror|Mystery|Thriller"	"English"	"USA"	"R"	101	2.35	9e+06	NA	"Tom Elkins"	"Abigail Spencer"	"Cicely Tyson"	"Brad James"	14	1000	907	559	3164	0	0	13167	57	79	5.3
"The Heat "	2013	"Action|Comedy|Crime"	"English"	"USA"	"R"	123	2.35	4.3e+07	159578352	"Paul Feig"	"Michael Rapaport"	"William Xifaras"	"Demián Bichir"	176	975	815	749	4825	24000	7	133177	380	270	6.6
"The Hobbit: The Desolation of Smaug "	2013	"Adventure|Fantasy"	"English"	"USA"	"PG-13"	186	2.35	2.25e+08	258355354	"Peter Jackson"	"Aidan Turner"	"Adam Brown"	"James Nesbitt"	0	5000	972	773	9152	83000	6	483540	951	509	7.9
"The Host "	2013	"Action|Adventure|Romance|Sci-Fi|Thriller"	"English"	"USA"	"PG-13"	125	2.35	4e+07	26616999	"Andrew Niccol"	"J.D. Evermore"	"Chandler Canterbury"	"Rachel Roberts"	487	430	329	201	1300	43000	3	92461	347	298	5.9
"The Hunger Games: Catching Fire "	2013	"Adventure|Sci-Fi|Thriller"	"English"	"USA"	"PG-13"	146	2.35	1.3e+08	424645577	"Francis Lawrence"	"Jennifer Lawrence"	"Josh Hutcherson"	"Sandra Ellis Lafferty"	508	34000	14000	523	49355	82000	1	498397	706	502	7.6
"The Immigrant "	2013	"Drama|Romance"	"English"	"USA"	"R"	120	2.35	1.6e+07	1984743	"James Gray"	"Jeremy Renner"	"Dagmara Dominczyk"	"Angela Sarafyan"	115	10000	316	310	11019	0	3	20616	70	230	6.6
"The Incredible Burt Wonderstone "	2013	"Comedy"	"English"	"USA"	"PG-13"	100	2.35	3e+07	22525921	"Don Scardino"	"Steve Buscemi"	"Olivia Wilde"	"Steve Carell"	35	12000	10000	7000	32094	13000	4	60596	158	260	5.9
"The Internship "	2013	"Comedy"	"English"	"USA"	"PG-13"	125	2.35	5.8e+07	44665963	"Shawn Levy"	"Josh Gad"	"Jessica Szohr"	"Rob Riggle"	189	1000	847	839	5081	22000	2	159931	281	246	6.3
"The Knife of Don Juan "	2013	"Comedy|Drama"	"Spanish"	"USA"	NA	110	NA	1200000	3830	"Tom Sanchez"	"Nataniel Sánchez"	"Antonio Arrué"	"Juan Carlos Montoya"	0	3	2	0	5	75	3	27	1	1	7.2
"The Last Days on Mars "	2013	"Horror|Sci-Fi|Thriller"	"English"	"UK"	"R"	98	2.35	7e+06	23838	"Ruairi Robinson"	"Romola Garai"	"Olivia Williams"	"Tom Cullen"	7	805	766	507	2271	0	0	28570	160	120	5.5
"The Last Exorcism Part II "	2013	"Drama|Horror|Thriller"	"English"	"France"	"PG-13"	93	2.35	5e+06	15152879	"Ed Gass-Donnelly"	"Muse Watson"	"Spencer Treat Clark"	"Ashley Bell"	8	45000	541	400	46868	0	0	13506	68	161	4
"The Last Stand "	2013	"Action|Crime|Thriller"	"English"	"USA"	"R"	107	2.35	4.5e+07	12026670	"Jee-woon Kim"	"Zach Gilford"	"James Burnett"	"Christiana Leucas"	419	971	236	165	1643	24000	2	114241	258	376	6.4
"The Lone Ranger "	2013	"Action|Adventure|Western"	"English"	"USA"	"PG-13"	150	2.35	2.15e+08	89289910	"Gore Verbinski"	"Johnny Depp"	"Ruth Wilson"	"Tom Wilkinson"	563	40000	2000	1000	45757	48000	1	181792	711	450	6.5
"The Lost Medallion: The Adventures of Billy Stone "	2013	"Adventure|Family|Fantasy"	"English"	"Thailand"	"PG"	97	2.35	NA	549632	"Bill Muir"	"Alex Kendrick"	"Jansen Panettiere"	"Tiya Sircar"	19	589	488	395	2522	715	NA	1278	16	10	4.8
"The Lunchbox "	2013	"Drama|Romance"	"Hindi"	"India"	"PG"	104	2.35	1e+06	4231500	"Ritesh Batra"	"Nawazuddin Siddiqui"	"Nimrat Kaur"	"Lillete Dubey"	25	638	85	73	822	16000	2	30479	162	195	7.8
"The Maid's Room "	2013	"Thriller"	"English"	"USA"	NA	98	NA	6e+05	NA	"Michael Walker"	"Paula Garcés"	"Annabella Sciorra"	"John Brodsky"	5	587	448	233	1707	128	0	719	9	8	4.5
"The Mortal Instruments: City of Bones "	2013	"Fantasy|Horror|Mystery|Romance"	"English"	"USA"	"PG-13"	130	2.35	6e+07	31165421	"Harald Zwart"	"Aidan Turner"	"Kevin Zegers"	"CCH Pounder"	91	5000	2000	1000	10247	44000	3	107028	457	212	6
"The Purge "	2013	"Horror|Sci-Fi|Thriller"	"English"	"USA"	"R"	85	2.35	3e+06	64423650	"James DeMonaco"	"Rhys Wakefield"	"Adelaide Kane"	"Chris Mulkey"	65	942	810	535	3708	31000	0	139329	578	361	5.7
"The Railway Man "	2013	"Biography|Drama|Romance|War"	"English"	"Australia"	"R"	116	2.35	1.8e+07	4435083	"Jonathan Teplitzky"	"Jeremy Irvine"	"Colin Firth"	"Sam Reid"	6	25000	14000	212	39463	18000	2	27882	119	186	7.1
"The Secret Life of Walter Mitty "	2013	"Adventure|Comedy|Drama|Fantasy|Romance"	"English"	"USA"	"PG"	114	2.35	9e+07	58229120	"Ben Stiller"	"Adam Scott"	"Adrian Martinez"	"Joey Slotnick"	0	3000	806	423	5095	70000	1	236421	515	362	7.3
"The Smurfs 2 "	2013	"Adventure|Animation|Comedy|Family|Fantasy"	"English"	"USA"	"PG"	105	1.85	1.05e+08	71017784	"Raja Gosnell"	"Jacob Tremblay"	"Nancy O'Dell"	"Vanessa Matsui"	67	681	71	40	914	0	3	27257	59	125	5.4
"The Spectacular Now "	2013	"Comedy|Drama|Romance"	"English"	"USA"	"R"	95	2.35	2500000	6851969	"James Ponsoldt"	"Shailene Woodley"	"Jennifer Jason Leigh"	"Dayo Okeniyi"	53	8000	1000	478	10040	10000	1	105591	178	220	7.1
"The Square "	2013	"Documentary|Drama|History|News"	"Arabic"	"Egypt"	"Not Rated"	108	1.85	1500000	NA	"Jehane Noujaim"	"Khalid Abdalla"	"Ahmed Hassan"	"Aida Elkashef"	63	161	10	5	176	0	0	6678	42	68	8.1
"The To Do List "	2013	"Comedy|Romance"	"English"	"USA"	"R"	104	1.78	1500000	3447339	"Maggie Carey"	"Donald Glover"	"Alia Shawkat"	"Scott Porter"	38	801	727	690	2667	0	7	29517	79	97	5.8
"The Vatican Exorcisms "	2013	"Horror"	"English"	"Italy"	"R"	76	2.35	1100000	NA	"Joe Marino"	"Piero Maggiò"	"Anella Vastola"	"Joe Marino"	0	12	0	0	12	200	0	332	10	9	2.6
"The Way Way Back "	2013	"Comedy|Drama"	"English"	"USA"	"PG-13"	103	1.85	5e+06	21501098	"Nat Faxon"	"Steve Carell"	"Liam James"	"Jim Rash"	214	7000	468	424	8375	22000	1	115813	216	276	7.4
"The Wolf of Wall Street "	2013	"Biography|Comedy|Crime|Drama"	"English"	"USA"	"R"	240	2.35	1e+08	116866727	"Martin Scorsese"	"Leonardo DiCaprio"	"Matthew McConaughey"	"Jon Favreau"	17000	29000	11000	4000	46057	138000	3	780588	1138	606	8.2
"The Wolverine "	2013	"Action|Adventure|Sci-Fi|Thriller"	"English"	"USA"	"PG-13"	138	2.35	1.2e+08	132550960	"James Mangold"	"Hugh Jackman"	"Tao Okamoto"	"Rila Fukushima"	446	20000	992	929	23755	68000	1	328067	533	440	6.7
"The World's End "	2013	"Action|Comedy|Sci-Fi"	"English"	"UK"	"R"	109	2.35	2e+07	26003149	"Edgar Wright"	"Michael Smiley"	"Thomas Law"	"Jasper Levine"	1000	177	55	24	278	49000	6	185587	401	427	7
"The Young and Prodigious T.S. Spivet "	2013	"Action|Adventure|Drama|Family"	"English"	"France"	"PG"	105	2.35	3.3e+07	99462	"Jean-Pierre Jeunet"	"Callum Rennie"	"Julian Richings"	"Judy Davis"	0	716	648	223	1843	5000	1	11347	28	122	7.1
"This Is Martin Bonner "	2013	"Drama"	"English"	"USA"	"R"	83	16	42000	NA	"Chad Hartigan"	"Jan Haley"	"Paul Eenhoorn"	"Demetrius Grosse"	3	695	571	69	1438	234	0	733	7	34	6.6
"This Is the End "	2013	"Comedy|Fantasy"	"English"	"USA"	"R"	107	2.35	3.2e+07	101470202	"Evan Goldberg"	"Channing Tatum"	"James Franco"	"Emma Watson"	133	17000	11000	9000	38751	97000	6	310540	669	418	6.7
"Thor: The Dark World "	2013	"Action|Adventure|Fantasy"	"English"	"USA"	"PG-13"	112	2.35	1.7e+08	206360018	"Alan Taylor"	"Chris Hemsworth"	"Natalie Portman"	"Anthony Hopkins"	230	26000	20000	12000	59803	63000	3	414070	532	486	7.1
"Thunder and the House of Magic "	2013	"Adventure|Animation|Comedy|Family|Fantasy"	"English"	"Belgium"	NA	85	2.35	3.4e+07	4091	"Jeremy Degruson"	"Kyle Hebert"	"Brianne Brozey"	"Joe Ochman"	0	324	15	11	369	0	0	4265	16	60	6.3
"Trance "	2013	"Crime|Drama|Mystery|Thriller"	"English"	"UK"	"R"	101	2.35	2e+07	2319187	"Danny Boyle"	"Rosario Dawson"	"Spencer Wilding"	"Tuppence Middleton"	0	3000	1000	888	5056	23000	0	92640	212	393	7
"Trance "	2013	"Crime|Drama|Mystery|Thriller"	"English"	"UK"	"R"	101	2.35	2e+07	2319187	"Danny Boyle"	"Rosario Dawson"	"Spencer Wilding"	"Tuppence Middleton"	0	3000	1000	888	5056	23000	0	92640	212	393	7
"Treachery "	2013	"Drama|Thriller"	"English"	"USA"	NA	67	NA	625000	NA	"Travis Romero"	"Matthew Ziff"	"Lorraine Ziff"	"Michael Biehn"	4	260000	21000	2000	283939	0	5	344	5	5	3.9
"Treading Water "	2013	"Comedy|Drama"	"English"	"Mexico"	NA	92	NA	4700000	NA	"Analeine Cal y Mayor"	"Zoë Kravitz"	"Douglas Smith"	"Kim Ly"	4	943	480	140	1795	199	1	421	3	10	6.2
"Turbo "	2013	"Adventure|Animation|Comedy|Family|Sport"	"English"	"USA"	"PG"	96	2.35	1.35e+08	83024900	"David Soren"	"Ryan Reynolds"	"Snoop Dogg"	"Ben Schwartz"	13	16000	881	463	17416	13000	0	62424	90	166	6.5
"Under the Skin "	2013	"Drama|Horror|Sci-Fi|Thriller"	"English"	"UK"	"R"	108	1.85	NA	2605039	"Jonathan Glazer"	"Scarlett Johansson"	"Paul Brannigan"	"Alison Chand"	143	19000	50	21	19086	29000	0	85022	616	454	6.3
